timestamp,device,classes,n_train,n_val,epochs_requested,epochs_run,total_duration,avg_seconds_per_epoch,lr,weight_decay,patience,class_weights,best_val_loss,accuracy,recall,specificity,precision,npv,positive_class
2026-09-07T15:45:11,cpu,bad|good,644,217,30,30,4:44.28,9.47,0.001,0.0001,8,bad=0.979|good=1.022,0.31721,0.894,0.9722,0.8165,0.84,0.9674,good
2026-09-07T16:01:25,cuda,bad|good,644,217,30,30,0:55.13,1.82,0.001,0.0001,8,bad=0.979|good=1.022,0.32061,0.9355,0.9444,0.9266,0.9273,0.9439,good
2026-09-07T16:05:36,cuda,bad|good,644,217,100,100,3:12.74,1.92,0.001,0.0001,18,bad=0.979|good=1.022,0.20603,0.9493,0.9722,0.9266,0.9292,0.9712,good
2026-09-08T11:20:05,cuda,bad|good,1353,320,120,63,3:43.82,3.54,0.001,0.0001,20,bad=1.281|good=0.820,0.23421,0.9375,0.9632,0.9108,0.9181,0.9597,good
2026-09-10T15:39:02,cuda,bad|good,1343,318,100,31,1:46.67,3.43,0.001,0.0001,8,bad=1.296|good=0.814,0.28257,0.9182,0.9141,0.9226,0.9255,0.9108,good
2026-09-10T15:44:05,cuda,bad|good,1343,318,100,79,4:33.77,3.46,0.001,0.0001,18,bad=1.296|good=0.814,0.19271,0.9497,0.9693,0.929,0.9349,0.9664,good
